ID,Parameter_ID,Name,Description
GB140-?,GB140,?,missing
GB146-0,GB146,0,absent
GB146-1,GB146,1,present
GB146-?,GB146,?,missing
GB147-0,GB147,0,absent
GB147-1,GB147,1,present
GB147-?,GB147,?,missing
GB148-0,GB148,0,absent
GB148-1,GB148,1,present
GB148-?,GB148,?,missing
GB149-0,GB149,0,absent
GB149-1,GB149,1,present
GB149-?,GB149,?,missing
GB150-0,GB150,0,absent
GB150-1,GB150,1,present
GB150-?,GB150,?,missing
GB151-0,GB151,0,absent
GB151-1,GB151,1,present
GB151-?,GB151,?,missing
GB152-0,GB152,0,absent
GB152-1,GB152,1,present
GB152-?,GB152,?,missing
GB155-0,GB155,0,absent
GB155-1,GB155,1,present
GB155-?,GB155,?,missing
GB156-0,GB156,0,absent
GB156-1,GB156,1,present
GB156-?,GB156,?,missing
GB158-0,GB158,0,absent
GB158-1,GB158,1,present
GB158-?,GB158,?,missing
GB159-0,GB159,0,absent
GB159-1,GB159,1,present
GB159-?,GB159,?,missing
GB160-0,GB160,0,absent
GB160-1,GB160,1,present
GB160-?,GB160,?,missing
GB165-0,GB165,0,absent
GB165-1,GB165,1,present
GB165-?,GB165,?,missing
GB166-0,GB166,0,absent
GB166-1,GB166,1,present
GB166-?,GB166,?,missing
GB167-0,GB167,0,absent
GB167-1,GB167,1,present
GB167-?,GB167,?,missing
GB170-0,GB170,0,absent
GB170-1,GB170,1,present
GB170-?,GB170,?,missing
GB171-0,GB171,0,absent
GB171-1,GB171,1,present
GB171-?,GB171,?,missing
GB172-0,GB172,0,absent
GB172-1,GB172,1,present
GB172-?,GB172,?,missing
GB177-0,GB177,0,absent
GB177-1,GB177,1,present
GB177-?,GB177,?,missing
GB184-0,GB184,0,absent
GB184-1,GB184,1,present
GB184-?,GB184,?,missing
GB185-0,GB185,0,absent
GB185-1,GB185,1,present
GB185-?,GB185,?,missing
GB186-0,GB186,0,absent
GB186-1,GB186,1,present
GB186-?,GB186,?,missing
GB187-0,GB187,0,absent
GB187-1,GB187,1,present
GB187-?,GB187,?,missing
GB188-0,GB188,0,absent
GB188-1,GB188,1,present
GB188-?,GB188,?,missing
GB192-0,GB192,0,absent
GB192-1,GB192,1,present
