ID	Feature_short	Feature	PoS	Function	Level
GB156	CausSay	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	verb	valency	word
GB158	RdplVerb	Are verbs reduplicated?	verb	TAME+	word
GB159	RdplNoun	Are nouns reduplicated?	noun	number	word
GB160	RdplOther	Are elements apart from verbs or nouns reduplicated?	adjective	other	word
GB165	TrialNumN	Is there productive morphological trial marking on nouns?	noun	number	word
GB166	PaucNumN	Is there productive morphological paucal marking on nouns?	noun	number	word
GB167	LogophPro	Is there a logophoric pronoun?	pronoun	deixis	clause
GB170	AdjGenderAgr	Can an adnominal property word agree with the noun in gender/noun class?	adjective	class agreement	NP
GB171	DemGenderAgr	Can an adnominal demonstrative agree with the noun in gender/noun class?	demonstrative	class agreement	NP
GB172	ArtGenderAgr	Can an article agree with the noun in gender/noun class?	multiple	class agreement	NP
GB177	AnimVerb	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	verb	argument marking (core)	word
GB184	AdjNumAgr	Can an adnominal property word agree with the noun in number?	adjective	number	NP
GB185	DemNumAgr	Can an adnominal demonstrative agree with the noun in number?	demonstrative	number	NP
GB186	ArtNumAgr	Can an article agree with the noun in number?	article	number	NP
GB187	DimN	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	noun	denominal derivation	word
GB188	AugN	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	noun	denominal derivation	word
GB192	ClassPhon	Is there a gender system where a noun's phonological properties are a factor in class assignment?	multiple	class agreement	clause
GB193	OrderAdjN	What is the order of adnominal property word and noun?	not assignable	word order	NP
GB196	PPron2	Is there a male/female distinction in 2nd person independent pronouns?	pronoun	deixis	word
GB197	fmPron1	Is there a male/female distinction in 1st person independent pronouns?	pronoun	deixis	word
GB198	NumNAgr	Can an adnominal numeral agree with the noun in gender/noun class?	numeral	class agreement	NP
GB203	OrderAllN	What is the order of the adnominal collective universal quantifier ('all') and the noun?	not assignable	word order	NP
GB204	AllEvery	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?	other	quantification	multiple
GB250	PredPossHab	Can predicative possession be expressed with a transitive 'habeo' verb?	verb	non-verbal predication	clause
GB252	PredPossLoc	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	multiple	non-verbal predication	clause
GB253	PredPossDat	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	multiple	non-verbal predication	clause
GB254	PredPossAdn	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	multiple	non-verbal predication	clause
GB256	PredPossCom	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?	multiple	non-verbal predication	clause
GB257	QIntonation	Can polar interrogation be marked by intonation only?	not assignable	interrogation	clause
GB260	QWordOrder	Can polar interrogation be indicated by a special word order?	multiple	interrogation	clause
GB262	InterPtclInit	Is there a clause-initial polar interrogative particle?	particle	interrogation	clause
GB263	InterPtclFin	Is there a clause-final polar interrogative particle?	particle	interrogation	clause
GB264	InterPtclMid	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	particle	word order	clause
GB265	CompSurpass	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	verb	non-verbal predication	clause
GB266	CompLoc	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	multiple	non-verbal predication	clause
GB270	CompConj	Can comparatives be expressed using two conjoined clauses?	multiple	non-verbal predication	clause
GB273	CompThan	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	particle	non-verbal predication	clause
GB275	CompMarkAdj	Is there a bound comparative degree marker on the property word in a comparative construction?	adjective	non-verbal predication	word
GB276	CompMarkFree	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	particle	non-verbal predication	clause
GB285	InterPtclVerbM	Can polar interrogation be marked by a question particle and verbal morphology?	multiple	interrogation	clause
GB286	InterVerbM	Can polar interrogation be indicated by overt verbal morphology only?	verb	interrogation	clause
GB291	InterTone	Can polar interrogation be marked by tone?	not assignable	interrogation	clause
GB296	Ideophones	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	other	other	word
GB297	InterVnotV	Can polar interrogation be indicated by a V-not-V construction?	verb	interrogation	clause
GB298	NegAuxV	Can standard negation be marked by an inflecting word ("auxiliary verb")?	verb	negation	clause
GB299	NegAuxPtcl	Can standard negation be marked by a non-inflecting word ("auxiliary particle")?	particle	negation	clause
GB300	SupplGive	Does the verb for 'give' have suppletive verb forms?	verb	TAME+	word
GB301	InclusoryConstr	Is there an inclusory construction?	multiple	deixis	clause
GB302	PassPtcl	Is there a phonologically free passive marker ('particle' or 'auxiliary')?	particle	valency	clause
GB303	AntipassPtcl	Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?	particle	valency	clause
GB304	PassAgentOvert	Can the agent be expressed overtly in a passive clause?	multiple	valency	clause
GB305	ReflPron	Is there a phonologically independent reflexive pronoun?	pronoun	valency	word
GB306	Non2PRecipPron	Is there a phonologically independent non-bipartite reciprocal pronoun?	pronoun	valency	word
GB309	MultiplePstFut	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?	verb	TAME	clause
GB312	MoodV	Is there overt morphological marking on the verb dedicated to mood?	verb	TAME	word
GB313	PossPron	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	pronoun	possession	word
GB314	ClassAug	Can augmentative meaning be expressed productively by a shift of gender/noun class?	multiple	class agreement	word
GB315	ClassDim	Can diminutive meaning be expressed productively by a shift of gender/noun class?	multiple	class agreement	word
GB316	SGFree	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?	particle	number	NP
GB317	DualFree	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?	particle	number	NP
GB318	PluralFree	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	particle	number	NP
GB319	TrialFree	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?	particle	number	NP
GB320	PaucFree	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?	particle	number	NP
GB321	ClassUnpred	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	multiple	class agreement	word
GB322	DirEvid	Is there grammatical marking of direct evidence (perceived with the senses)?	verb	TAME	clause
GB323	IndirEvid	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?	verb	TAME	clause
GB324	DoWhat	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?	verb	interrogation	clause
GB325	HowMuchMany	Is there a count/mass distinction in interrogative quantifiers?	particle	quantification	word
GB326	ContInterInSitu	Do (nominal) content interrogatives normally or frequently occur in situ?	not assignable	word order	clause
GB327	NRelatCl	Can the relative clause follow the noun?	not assignable	word order	clause
GB328	RelatClNoun	Can the relative clause precede the noun?	not assignable	word order	clause
GB329	InterHeadRelCl	Are there internally-headed relative clauses?	not assignable	word order	clause
GB330	CorrelatRelCl	Are there correlative relative clauses?	not assignable	word order	clause
GB331	AdjRelCl	Are there adjoined relative clauses?	not assignable	word order	clause
GB333	DecimalNS	Is there a decimal numeral system?	other	quantification	word
GB334	QuinaryNS	Is there synchronic evidence for any element of a quinary numeral system?	other	quantification	word
GB335	VigesimalNS	Is there synchronic evidence for any element of a vigesimal numeral system?	other	quantification	word
