author,year,matchauthoryear,matchtitle,matchtype,matchid
Shigeno,2010,hiromi2010,Ura (Amami Ryukyuan),grammar_sketch,hh:s:Shigeno:Ura
Hahn,1998,,,,hh:s:Hahn:Uyghur
Yakup,2020,,Uyghur and Uzbek, the Southeastern Turkic languages,
Bodrogligeti,2003,bodrogligeti2003,An academic reference grammar of modern literary Uzbek,grammar,hh:g:Bodrogligeti:Uzbek
Kharitonov,1982,,,,mpieva:Charitonov1982Grammati
Sakha online dictionary,2018,,,,
Malchukov,p.c. 2018,,,,
Yamada,2015,masahiro2015,Dunan grammar (Yonaguni Ryukyuan),grammar_sketch,hh:s:Yamada:Dunan
Niinaga,2010,yuto2010,Yuwan (Amami Ryukyuan),grammar_sketch,hh:s:Niinaga:Yuwan
Niinaga,2014,niinaga2014,"A grammar of Yuwan, a northern Ryukyuan language",grammar,hh:g:Niinaga:Yuwan
Sohn,2015,,Grammaticalization. In The Handbook of Korean Linguistics,,
Cho,2015,,"Syllable-based phonological processes. In The handbook of Korean linguistics, 22.",,
Izidinova,1997,,,,wals:2896
Antonov,1997,,,,wals:231
Donidze,1997,,,,wals:1536
Kajdarov,1997,,,,wals:3066
Zakiev,1997,,,,wals:6659
Charyjarov and Nazarov,1997,,,,wals:1046
Baskakov,1997,,,,wals:412
