ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,PoS,Function,Level
nort2697-GB266,nort2697,GB266,1,GB266-1,,Shiraliev (1971:47),multiple,non-verbal predication,clause
nort2697-GB270,nort2697,GB270,0,GB270-0,,Shiraliev (1971:47),multiple,non-verbal predication,clause
nort2697-GB273,nort2697,GB273,0,GB273-0,,Shiraliev (1971:47),particle,non-verbal predication,clause
nort2697-GB275,nort2697,GB275,0,GB275-0,,Shiraliev (1971:47),adjective,non-verbal predication,word
nort2697-GB276,nort2697,GB276,0,GB276-0,,Shiraliev (1971:47),particle,non-verbal predication,clause
nort2697-GB285,nort2697,GB285,0,GB285-0,,Shiraliev (1971:254-257),multiple,interrogation,clause
nort2697-GB286,nort2697,GB286,0,GB286-0,the phonologically bound particle can attach to any part of speech,Shiraliev (1971:254-257),verb,interrogation,clause
nort2697-GB291,nort2697,GB291,0,GB291-0,,Shiraliev (1971:254-257),not assignable,interrogation,clause
nort2697-GB296,nort2697,GB296,0,GB296-0,Not mentioned.,Shiraliev (1971:1-407),other,other,word
nort2697-GB297,nort2697,GB297,0,GB297-0,,Shiraliev (1971:254-257),verb,interrogation,clause
nort2697-GB298,nort2697,GB298,0,GB298-0,,Shiraliev (1997:166),verb,negation,clause
nort2697-GB299,nort2697,GB299,0,GB299-0,,Shiraliev (1997:166),particle,negation,clause
nort2697-GB300,nort2697,GB300,0,GB300-0,Not mentioned.,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB301,nort2697,GB301,1,GB301-1,,Mehraliev (p.c. 2017),multiple,deixis,clause
nort2697-GB302,nort2697,GB302,0,GB302-0,,Shiraliev (1971:1-407),particle,valency,clause
nort2697-GB303,nort2697,GB303,0,GB303-0,,Shiraliev (1971:1-407),particle,valency,clause
nort2697-GB304,nort2697,GB304,1,GB304-1,,Shiraliev (1971:106),multiple,valency,clause
nort2697-GB305,nort2697,GB305,1,GB305-1,,Shiraliev (1971:88),pronoun,valency,word
nort2697-GB306,nort2697,GB306,0,GB306-0,it is bipartite,Mehraliev (p.c. 2017),pronoun,valency,word
nort2697-GB309,nort2697,GB309,1,GB309-1,they do not distinguish distance from Time of Reference,Shiraliev (1971:123-136); Shiraliev (1997:165),verb,TAME,clause
nort2697-GB312,nort2697,GB312,1,GB312-1,,Shiraliev (1997:164-165),verb,TAME,word
nort2697-GB313,nort2697,GB313,0,GB313-0,genitive case of personal pronouns,"Shiraliev (1971:49-51, 87); Shiraliev (1997:163-164)",pronoun,possession,word
nort2697-GB314,nort2697,GB314,0,GB314-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB315,nort2697,GB315,0,GB315-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB316,nort2697,GB316,0,GB316-0,,Shiraliev (1997:163),particle,number,NP
nort2697-GB317,nort2697,GB317,0,GB317-0,,Shiraliev (1997:163),particle,number,NP
nort2697-GB318,nort2697,GB318,0,GB318-0,,Shiraliev (1997:163),particle,number,NP
nort2697-GB319,nort2697,GB319,0,GB319-0,,Shiraliev (1997:163),particle,number,NP
nort2697-GB320,nort2697,GB320,0,GB320-0,,Shiraliev (1997:163),particle,number,NP
nort2697-GB321,nort2697,GB321,0,GB321-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB322,nort2697,GB322,0,GB322-0,,Shiraliev (1971:1-407),verb,TAME,clause
nort2697-GB323,nort2697,GB323,0,GB323-0,,Shiraliev (1971:1-407),verb,TAME,clause
nort2697-GB324,nort2697,GB324,0,GB324-0,Not mentioned.,Shiraliev (1971:254-257),verb,interrogation,clause
nort2697-GB325,nort2697,GB325,0,GB325-0,,Shiraliev (1997:166),particle,quantification,word
nort2697-GB326,nort2697,GB326,1,GB326-1,,Shiraliev (1971:254-257),not assignable,word order,clause
nort2697-GB327,nort2697,GB327,1,GB327-1,,Shiraliev (1971:141),not assignable,word order,clause
nort2697-GB328,nort2697,GB328,1,GB328-1,,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB329,nort2697,GB329,?,GB329-?,Not mentioned.,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB330,nort2697,GB330,?,GB330-?,Not mentioned.,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB331,nort2697,GB331,?,GB331-?,,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB333,nort2697,GB333,1,GB333-1,,Shiraliev (1971:72),other,quantification,word
nort2697-GB334,nort2697,GB334,0,GB334-0,,Shiraliev (1971:72),other,quantification,word
nort2697-GB335,nort2697,GB335,0,GB335-0,,Shiraliev (1971:72),other,quantification,word
nort2697-GB336,nort2697,GB336,0,GB336-0,,Shiraliev (1971:72),noun,quantification,word
nort2697-GB400,nort2697,GB400,0,GB400-0,Not mentioned.,Shiraliev (1971:1-407),verb,TAME,clause
nort2697-GB401,nort2697,GB401,0,GB401-0,,Mehraliev (p.c. 2017),verb,valency,clause
nort2697-GB402,nort2697,GB402,0,GB402-0,Not mentioned.,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB403,nort2697,GB403,0,GB403-0,Not mentioned.,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB408,nort2697,GB408,1,GB408-1,,Shiraliev (1971:44); Shiraliev (1997:163),multiple,argument marking (core),clause
nort2697-GB409,nort2697,GB409,0,GB409-0,Not mentioned.,Shiraliev (1971:1-407),multiple,argument marking (core),clause
nort2697-GB410,nort2697,GB410,1,GB410-1,,Shiraliev (1971:44); Shiraliev (1997:163),multiple,argument marking (core),clause
nort2697-GB415,nort2697,GB415,0,GB415-0,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-GB421,nort2697,GB421,?,GB421-?,,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB422,nort2697,GB422,?,GB422-?,,Shiraliev (1971:1-407),not assignable,word order,clause
nort2697-GB430,nort2697,GB430,0,GB430-0,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),multiple,possession,word
nort2697-GB431,nort2697,GB431,0,GB431-0,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),multiple,possession,word
nort2697-GB432,nort2697,GB432,1,GB432-1,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),multiple,possession,word
nort2697-GB433,nort2697,GB433,1,GB433-1,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),multiple,possession,word
nort2697-GB519,nort2697,GB519,0,GB519-0,,Shiraliev (1997:164-165),particle,TAME,clause
nort2697-GB520,nort2697,GB520,0,GB520-0,,Shiraliev (1997:164),particle,TAME,clause
nort2697-GB521,nort2697,GB521,0,GB521-0,,Shiraliev (1971:105-106); Shiraliev (1997:165),particle,TAME,clause
nort2697-GB522,nort2697,GB522,1,GB522-1,,Mehraliev (p.c. 2017),not assignable,argument marking (core),clause
nort2697-TE003,nort2697,TE003,1,TE003-1,,Shiraliev (1971:27-28); Shiraliev (1997:162),not assignable,phonological distinctiveness,phonological shape
nort2697-TE004,nort2697,TE004,0,TE004-0,,Shiraliev (1997:162),not assignable,phonological distinctiveness,phonological shape
nort2697-TE005,nort2697,TE005,0,TE005-0,,Shiraliev (1997:161),not assignable,phonological distinctiveness,phonological shape
nort2697-TE006,nort2697,TE006,0,TE006-0,only in borrowings,Shiraliev (1971:26),not assignable,phonological distinctiveness,phonological shape
nort2697-TE007,nort2697,TE007,0,TE007-0,,Shiraliev (1971:27); Shiraliev (1997:162),not assignable,phonological distinctiveness,phonological shape
nort2697-TE008,nort2697,TE008,1,TE008-1,,Shiraliev (1971:20-23),not assignable,phonological distinctiveness,phonological shape
nort2697-TE018,nort2697,TE018,1,TE018-1,,Shiraliev (1971:79),pronoun,phonological distinctiveness,phonological shape
nort2697-TE019,nort2697,TE019,1,TE019-1,,Shiraliev (1971:80),pronoun,phonological distinctiveness,phonological shape
nort2697-TE027,nort2697,TE027,1,TE027-1,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-TE031,nort2697,TE031,0,TE031-0,,Shiraliev (1997:161),not assignable,phonological distinctiveness,phonological shape
nort2697-TE037,nort2697,TE037,1,TE037-1,,Shiraliev (1971:22-24),not assignable,phonological distinctiveness,phonological shape
